Country, Year, GDP (in billion USD), Inflation Rate (%), Unemployment Rate (%), Economic Growth (%)
USA, 2010, 15000, 1.64, 9.63, 2.55
USA, 2011, 15500, 3.16, 8.94, 1.53
USA, 2012, 16000, 2.07, 8.10, 2.28
USA, 2013, 16500, 1.50, 7.70, 1.84
USA, 2014, 17000, 1.62, 7.25, 2.53
USA, 2015, 17500, 0.12, 5.32, 3.08
USA, 2016, 18000, 1.26, 4.87, 2.69
USA, 2017, 18500, 2.13, 4.30, 2.81
USA, 2018, 19000, 2.44, 3.91, 2.90
USA, 2019, 19500, 1.81, 3.70, 2.33
USA, 2020, 20000, 1.25, 8.10, -3.42
USA, 2021, 20500, 5.39, 5.40, 5.92
USA, 2022, 21000, 8.00, 5.60, 2.51
USA, 2023, 21500, 4.25, 4.80, 3.15
USA, 2024, 22000, 3.90, 4.50, 2.90
USA, 2025, 22500, 3.50, 4.20, 2.60
China, 2010, 6700, 3.30, 4.20, 10.30
China, 2011, 7000, 5.40, 4.10, 9.30
China, 2012, 7300, 2.60, 4.10, 7.70
China, 2013, 7600, 2.50, 4.00, 7.80
China, 2014, 7900, 2.10, 4.10, 7.30
China, 2015, 8200, 1.40, 4.05, 6.90
China, 2016, 8500, 2.00, 4.00, 6.70
China, 2017, 8800, 1.60, 3.90, 6.90
China, 2018, 9100, 2.10, 3.80, 6.60
China, 2019, 9400, 2.90, 3.70, 6.10
China, 2020, 9900, 2.50, 4.50, 2.30
China, 2021, 10400, 0.90, 5.00, 8.10
China, 2022, 10800, 1.80, 5.10, 3.30
China, 2023, 11200, 2.10, 5.20, 4.10
China, 2024, 11600, 2.50, 5.30, 3.90
China, 2025, 12000, 2.80, 5.40, 3.80
Japan, 2010, 5500, -0.72, 5.10, 4.20
Japan, 2011, 5600, 0.00, 4.70, -0.10
Japan, 2012, 5700, 0.02, 4.60, 1.50
Japan, 2013, 5800, 0.40, 4.40, 2.00
Japan, 2014, 5900, 2.40, 4.10, 0.30
Japan, 2015, 6000, 0.80, 3.60, 1.20
Japan, 2016, 6100, -0.50, 3.30, 1.00
Japan, 2017, 6200, 0.60, 3.00, 1.80
Japan, 2018, 6300, 0.90, 2.40, 0.80
Japan, 2019, 6400, 0.40, 2.40, 1.10
Japan, 2020, 6500, 0.20, 2.80, -4.80
Japan, 2021, 6600, -0.10, 2.60, 2.70
Japan, 2022, 6700, 0.50, 2.40, 1.00
Japan, 2023, 6800, 1.10, 2.30, 1.50
Japan, 2024, 6900, 1.20, 2.20, 1.80
Japan, 2025, 7000, 1.50, 2.10, 1.60
Germany, 2010, 3300, 1.10, 6.80, 4.00
Germany, 2011, 3400, 2.30, 6.50, 3.60
Germany, 2012, 3500, 2.00, 6.00, 3.40
Germany, 2013, 3600, 1.40, 5.80, 3.50
Germany, 2014, 3700, 0.90, 5.00, 3.60
Germany, 2015, 3800, 0.30, 4.70, 3.70
Germany, 2016, 3900, 0.50, 4.50, 3.60
Germany, 2017, 4000, 1.80, 4.30, 2.60
Germany, 2018, 4100, 1.90, 3.90, 2.50
Germany, 2019, 4200, 1.40, 3.60, 2.00
Germany, 2020, 4300, 0.60, 4.20, -4.90
Germany, 2021, 4400, 3.10, 3.80, 3.60
Germany, 2022, 4500, 7.10, 3.50, 2.80
Germany, 2023, 4600, 6.50, 3.30, 2.20
Germany, 2024, 4700, 5.80, 3.10, 2.50
Germany, 2025, 4800, 4.90, 3.00, 2.60
India, 2010, 1500, 11.99, 9.60, 9.30
India, 2011, 1600, 8.50, 8.80, 7.90
India, 2012, 1700, 10.56, 8.40, 6.30
India, 2013, 1800, 9.77, 7.80, 5.90
India, 2014, 1900, 6.40, 7.20, 6.90
India, 2015, 2000, 4.90, 6.20, 7.20
India, 2016, 2100, 5.00, 5.70, 8.00
India, 2017, 2200, 3.60, 5.50, 6.70
India, 2018, 2300, 3.69, 5.00, 7.30
India, 2019, 2400, 3.40, 5.10, 6.10
India, 2020, 2500, 6.20, 6.30, -7.30
India, 2021, 2600, 5.00, 6.00, 8.40
India, 2022, 2700, 6.30, 5.80, 7.10
India, 2023, 2800, 5.50, 5.50, 6.90
India, 2024, 2900, 5.30, 5.40, 6.00
India, 2025, 3000, 5.00, 5.20, 6.20
UK, 2010, 2200, 3.30, 7.80, 1.90
UK, 2011, 2300, 4.50, 8.00, 1.00
UK, 2012, 2400, 2.80, 7.80, 0.10
UK, 2013, 2500, 2.60, 7.40, 1.90
UK, 2014, 2600, 1.50, 6.00, 2.80
UK, 2015, 2700, 0.00, 5.40, 3.10
UK, 2016, 2800, 0.60, 4.90, 1.80
UK, 2017, 2900, 2.70, 4.40, 1.80
UK, 2018, 3000, 2.50, 4.00, 1.40
UK, 2019, 3100, 1.80, 3.80, 1.30
UK, 2020, 3200, 0.90, 4.50, -9.80
UK, 2021, 3300, 1.50, 4.10, 7.40
UK, 2022, 3400, 5.40, 3.70, 4.10
UK, 2023, 3500, 6.00, 3.60, 1.80
UK, 2024, 3600, 3.90, 3.50, 2.20
UK, 2025, 3700, 2.80, 3.30, 2.50
Canada, 2010, 1500, 1.80, 8.00, 3.20
Canada, 2011, 1550, 2.90, 7.40, 2.50
Canada, 2012, 1600, 1.50, 7.20, 1.90
Canada, 2013, 1650, 0.90, 7.10, 2.00
Canada, 2014, 1700, 1.90, 6.90, 2.60
Canada, 2015, 1750, 1.10, 6.80, 1.10
